web-scraper-order,web-scraper-start-url,sequences,sequences-href
"1663256040-2247","http://www.allergenonline.org/databasebrowse.shtml","15984","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=15984"
"1663256040-2248","http://www.allergenonline.org/databasebrowse.shtml","166317","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=166317"
"1663256040-2249","http://www.allergenonline.org/databasebrowse.shtml","193806686","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=193806686"
"1663256040-2250","http://www.allergenonline.org/databasebrowse.shtml","281552898","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=281552898"
"1663256040-2251","http://www.allergenonline.org/databasebrowse.shtml","378548411","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=378548411"
"1663256040-2252","http://www.allergenonline.org/databasebrowse.shtml","378405189","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=378405189"
"1663256040-2253","http://www.allergenonline.org/databasebrowse.shtml","332319679","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=332319679"
"1663256040-2254","http://www.allergenonline.org/databasebrowse.shtml","71057064","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=71057064"
"1663256040-2255","http://www.allergenonline.org/databasebrowse.shtml","146737976","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=146737976"
"1663256040-2256","http://www.allergenonline.org/databasebrowse.shtml","40807635","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=40807635"
"1663256040-2257","http://www.allergenonline.org/databasebrowse.shtml","85701136","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=85701136"
"1663256040-2258","http://www.allergenonline.org/databasebrowse.shtml","441482346","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=441482346"
"1663256040-2259","http://www.allergenonline.org/databasebrowse.shtml","441482348","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=441482348"
"1663256040-2260","http://www.allergenonline.org/databasebrowse.shtml","441482350","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=441482350"
"1663256040-2261","http://www.allergenonline.org/databasebrowse.shtml","441482352","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=441482352"
"1663256040-2262","http://www.allergenonline.org/databasebrowse.shtml","906848988","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=906848988"
"1663256040-2263","http://www.allergenonline.org/databasebrowse.shtml","1407892581","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=1407892581"
"1663256040-2264","http://www.allergenonline.org/databasebrowse.shtml","441482356","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=441482356"
"1663256040-2265","http://www.allergenonline.org/databasebrowse.shtml","441482358","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=441482358"
"1663256040-2266","http://www.allergenonline.org/databasebrowse.shtml","441482360","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=441482360"
"1663256040-2267","http://www.allergenonline.org/databasebrowse.shtml","556272","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=556272"
"1663256040-2268","http://www.allergenonline.org/databasebrowse.shtml","193806340","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=193806340"
"1663256040-2269","http://www.allergenonline.org/databasebrowse.shtml","1218215869","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=1218215869"
"1663256040-2270","http://www.allergenonline.org/databasebrowse.shtml","205525919","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=205525919"
"1663256040-2271","http://www.allergenonline.org/databasebrowse.shtml","2114497","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=2114497"
"1663256040-2272","http://www.allergenonline.org/databasebrowse.shtml","94468546","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=94468546"
"1663256040-2273","http://www.allergenonline.org/databasebrowse.shtml","157119961","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=157119961"
"1663256040-2274","http://www.allergenonline.org/databasebrowse.shtml","157125324","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=157125324"
"1663256040-2275","http://www.allergenonline.org/databasebrowse.shtml","94468818","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=94468818"
"1663256040-2276","http://www.allergenonline.org/databasebrowse.shtml","157131813","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=157131813"
"1663256040-2277","http://www.allergenonline.org/databasebrowse.shtml","157131825","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=157131825"
"1663256040-2278","http://www.allergenonline.org/databasebrowse.shtml","126713","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=126713"
"1663256040-2279","http://www.allergenonline.org/databasebrowse.shtml","320606","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=320606"
"1663256040-2280","http://www.allergenonline.org/databasebrowse.shtml","75139987","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=75139987"
"1663256040-2281","http://www.allergenonline.org/databasebrowse.shtml","75139989","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=75139989"
"1663256040-2282","http://www.allergenonline.org/databasebrowse.shtml","261407","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=261407"
"1663256040-2283","http://www.allergenonline.org/databasebrowse.shtml","3319651","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=3319651"
"1663256040-2284","http://www.allergenonline.org/databasebrowse.shtml","1842045","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=1842045"
"1663256040-2285","http://www.allergenonline.org/databasebrowse.shtml","21913174","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=21913174"
"1663256040-2286","http://www.allergenonline.org/databasebrowse.shtml","45680856","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=45680856"
"1663256040-2287","http://www.allergenonline.org/databasebrowse.shtml","390980892","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=390980892"
"1663256040-2288","http://www.allergenonline.org/databasebrowse.shtml","508123617","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=508123617"
"1663256040-2289","http://www.allergenonline.org/databasebrowse.shtml","76666767","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=76666767"
"1663256040-2290","http://www.allergenonline.org/databasebrowse.shtml","1350779","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=1350779"
"1663256040-2291","http://www.allergenonline.org/databasebrowse.shtml","74611808","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=74611808"
"1663256040-2292","http://www.allergenonline.org/databasebrowse.shtml","636530596","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=636530596"
"1663256040-2293","http://www.allergenonline.org/databasebrowse.shtml","14423730","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=14423730"
"1663256040-2294","http://www.allergenonline.org/databasebrowse.shtml","85701160","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=85701160"
"1663256040-2295","http://www.allergenonline.org/databasebrowse.shtml","1850540","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=1850540"
"1663256040-2296","http://www.allergenonline.org/databasebrowse.shtml","1173071","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=1173071"
"1663256040-2297","http://www.allergenonline.org/databasebrowse.shtml","14423684","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=14423684"
"1663256040-2298","http://www.allergenonline.org/databasebrowse.shtml","1168402","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=1168402"
"1663256040-2299","http://www.allergenonline.org/databasebrowse.shtml","1213711549","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=1213711549"
"1663256040-2300","http://www.allergenonline.org/databasebrowse.shtml","37780013","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=37780013"
"1663256040-2301","http://www.allergenonline.org/databasebrowse.shtml","118595439","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=118595439"
"1663256040-2302","http://www.allergenonline.org/databasebrowse.shtml","529279957","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=529279957"
"1663256040-2303","http://www.allergenonline.org/databasebrowse.shtml","21748153","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=21748153"
"1663256040-2304","http://www.allergenonline.org/databasebrowse.shtml","112824341","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=112824341"
"1663256040-2305","http://www.allergenonline.org/databasebrowse.shtml","227937304","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=227937304"
"1663256040-2306","http://www.allergenonline.org/databasebrowse.shtml","914410010","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=914410010"
"1663256040-2307","http://www.allergenonline.org/databasebrowse.shtml","113475","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=113475"
"1663256040-2308","http://www.allergenonline.org/databasebrowse.shtml","113476","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=113476"
"1663256040-2309","http://www.allergenonline.org/databasebrowse.shtml","113477","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=113477"
"1663256040-2310","http://www.allergenonline.org/databasebrowse.shtml","113478","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=113478"
"1663256040-2311","http://www.allergenonline.org/databasebrowse.shtml","166443","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=166443"
"1663256040-2312","http://www.allergenonline.org/databasebrowse.shtml","166447","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=166447"
"1663256040-2313","http://www.allergenonline.org/databasebrowse.shtml","302127810","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=302127810"
"1663256040-2314","http://www.allergenonline.org/databasebrowse.shtml","302127812","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=302127812"
"1663256040-2315","http://www.allergenonline.org/databasebrowse.shtml","302127814","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=302127814"
"1663256040-2316","http://www.allergenonline.org/databasebrowse.shtml","302127816","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=302127816"
"1663256040-2317","http://www.allergenonline.org/databasebrowse.shtml","302127818","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=302127818"
"1663256040-2318","http://www.allergenonline.org/databasebrowse.shtml","302127820","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=302127820"
"1663256040-2319","http://www.allergenonline.org/databasebrowse.shtml","302127822","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=302127822"
"1663256040-2320","http://www.allergenonline.org/databasebrowse.shtml","302127824","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=302127824"
"1663256040-2321","http://www.allergenonline.org/databasebrowse.shtml","302127826","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=302127826"
"1663256040-2322","http://www.allergenonline.org/databasebrowse.shtml","302127828","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=302127828"
"1663256040-2323","http://www.allergenonline.org/databasebrowse.shtml","62249491","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=62249491"
"1663256040-2324","http://www.allergenonline.org/databasebrowse.shtml","285005079","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=285005079"
"1663256040-2325","http://www.allergenonline.org/databasebrowse.shtml","291197394","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=291197394"
"1663256040-2326","http://www.allergenonline.org/databasebrowse.shtml","291482306","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=291482306"
"1663256040-2327","http://www.allergenonline.org/databasebrowse.shtml","291482308","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=291482308"
"1663256040-2328","http://www.allergenonline.org/databasebrowse.shtml","291482310","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=291482310"
"1663256040-2329","http://www.allergenonline.org/databasebrowse.shtml","291482314","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=291482314"
"1663256040-2330","http://www.allergenonline.org/databasebrowse.shtml","291482316","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=291482316"
"1663256040-2331","http://www.allergenonline.org/databasebrowse.shtml","291482318","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=291482318"
"1663256040-2332","http://www.allergenonline.org/databasebrowse.shtml","14285595","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=14285595"
"1663256040-2333","http://www.allergenonline.org/databasebrowse.shtml","34851182","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=34851182"
"1663256040-2334","http://www.allergenonline.org/databasebrowse.shtml","34851180","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=34851180"
"1663256040-2335","http://www.allergenonline.org/databasebrowse.shtml","34851178","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=34851178"
"1663256040-2336","http://www.allergenonline.org/databasebrowse.shtml","62249502","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=62249502"
"1663256040-2337","http://www.allergenonline.org/databasebrowse.shtml","62249512","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=62249512"
"1663256040-2338","http://www.allergenonline.org/databasebrowse.shtml","1035439203","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=1035439203"
"1663256040-2339","http://www.allergenonline.org/databasebrowse.shtml","1035439209","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=1035439209"
"1663256040-2340","http://www.allergenonline.org/databasebrowse.shtml","62249470","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=62249470"
"1663256040-2341","http://www.allergenonline.org/databasebrowse.shtml","62249481","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=62249481"
"1663256040-2342","http://www.allergenonline.org/databasebrowse.shtml","558482540","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=558482540"
"1663256040-2343","http://www.allergenonline.org/databasebrowse.shtml","1023176264","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=1023176264"
"1663256040-2344","http://www.allergenonline.org/databasebrowse.shtml","416636","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=416636"
"1663256040-2345","http://www.allergenonline.org/databasebrowse.shtml","114090","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=114090"
"1663256040-2346","http://www.allergenonline.org/databasebrowse.shtml","515953","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=515953"
"1663256040-2347","http://www.allergenonline.org/databasebrowse.shtml","515954","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=515954"
"1663256040-2348","http://www.allergenonline.org/databasebrowse.shtml","515955","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=515955"
"1663256040-2349","http://www.allergenonline.org/databasebrowse.shtml","515956","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=515956"
"1663256040-2350","http://www.allergenonline.org/databasebrowse.shtml","515957","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=515957"
"1663256040-2351","http://www.allergenonline.org/databasebrowse.shtml","114091","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=114091"
"1663256040-2352","http://www.allergenonline.org/databasebrowse.shtml","340742817","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=340742817"
"1663256040-2353","http://www.allergenonline.org/databasebrowse.shtml","21666498","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=21666498"
"1663256040-2354","http://www.allergenonline.org/databasebrowse.shtml","21914823","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=21914823"
"1663256040-2355","http://www.allergenonline.org/databasebrowse.shtml","25991543","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=25991543"
"1663256040-2356","http://www.allergenonline.org/databasebrowse.shtml","24473800","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=24473800"
"1663256040-2357","http://www.allergenonline.org/databasebrowse.shtml","75277440","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=75277440"
"1663256040-2358","http://www.allergenonline.org/databasebrowse.shtml","75306610","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=75306610"
"1663256040-2359","http://www.allergenonline.org/databasebrowse.shtml","428230092","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=428230092"
"1663256040-2360","http://www.allergenonline.org/databasebrowse.shtml","442577845","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=442577845"
"1663256040-2361","http://www.allergenonline.org/databasebrowse.shtml","442577847","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=442577847"
"1663256040-2362","http://www.allergenonline.org/databasebrowse.shtml","442577849","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=442577849"
"1663256040-2363","http://www.allergenonline.org/databasebrowse.shtml","442577833","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=442577833"
"1663256040-2364","http://www.allergenonline.org/databasebrowse.shtml","1236364983","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=1236364983"
"1663256040-2365","http://www.allergenonline.org/databasebrowse.shtml","47605452","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=47605452"
"1663256040-2366","http://www.allergenonline.org/databasebrowse.shtml","442577863","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=442577863"
"1663256040-2367","http://www.allergenonline.org/databasebrowse.shtml","442577865","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=442577865"
"1663256040-2368","http://www.allergenonline.org/databasebrowse.shtml","272574378","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=272574378"
"1663256040-2369","http://www.allergenonline.org/databasebrowse.shtml","323575361","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=323575361"
"1663256040-2370","http://www.allergenonline.org/databasebrowse.shtml","323575363","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=323575363"
"1663256040-2371","http://www.allergenonline.org/databasebrowse.shtml","323575365","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=323575365"
"1663256040-2372","http://www.allergenonline.org/databasebrowse.shtml","323575367","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=323575367"
"1663256040-2373","http://www.allergenonline.org/databasebrowse.shtml","442577851","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=442577851"
"1663256040-2374","http://www.allergenonline.org/databasebrowse.shtml","442577853","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=442577853"
"1663256040-2375","http://www.allergenonline.org/databasebrowse.shtml","442577855","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=442577855"
"1663256040-2376","http://www.allergenonline.org/databasebrowse.shtml","957554293","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=957554293"
"1663256040-2377","http://www.allergenonline.org/databasebrowse.shtml","8453086","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=8453086"
"1663256040-2378","http://www.allergenonline.org/databasebrowse.shtml","42559536","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=42559536"
"1663256040-2379","http://www.allergenonline.org/databasebrowse.shtml","14423976","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=14423976"
"1663256040-2380","http://www.allergenonline.org/databasebrowse.shtml","350285785","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=350285785"
"1663256040-2381","http://www.allergenonline.org/databasebrowse.shtml","47605398","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=47605398"
"1663256040-2382","http://www.allergenonline.org/databasebrowse.shtml","110346534","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=110346534"
"1663256040-2383","http://www.allergenonline.org/databasebrowse.shtml","121308878","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=121308878"
"1663256040-2384","http://www.allergenonline.org/databasebrowse.shtml","119524036","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=119524036"
"1663256040-2385","http://www.allergenonline.org/databasebrowse.shtml","155676636","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=155676636"
"1663256040-2386","http://www.allergenonline.org/databasebrowse.shtml","155676682","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=155676682"
"1663256040-2387","http://www.allergenonline.org/databasebrowse.shtml","155676684","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=155676684"
"1663256040-2388","http://www.allergenonline.org/databasebrowse.shtml","155676686","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=155676686"
"1663256040-2389","http://www.allergenonline.org/databasebrowse.shtml","155676688","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=155676688"
"1663256040-2390","http://www.allergenonline.org/databasebrowse.shtml","155676690","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=155676690"
"1663256040-2391","http://www.allergenonline.org/databasebrowse.shtml","155676692","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=155676692"
"1663256040-2392","http://www.allergenonline.org/databasebrowse.shtml","155676694","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=155676694"
"1663256040-2393","http://www.allergenonline.org/databasebrowse.shtml","155676696","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=155676696"
"1663256040-2394","http://www.allergenonline.org/databasebrowse.shtml","155676698","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=155676698"
"1663256040-2395","http://www.allergenonline.org/databasebrowse.shtml","157418806","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=157418806"
"1663256040-2396","http://www.allergenonline.org/databasebrowse.shtml","6065738","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=6065738"
"1663256040-2397","http://www.allergenonline.org/databasebrowse.shtml","320607","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=320607"
"1663256040-2398","http://www.allergenonline.org/databasebrowse.shtml","75139986","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=75139986"
"1663256040-2399","http://www.allergenonline.org/databasebrowse.shtml","75139990","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=75139990"
"1663256040-2400","http://www.allergenonline.org/databasebrowse.shtml","7435005","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=7435005"
"1663256040-2401","http://www.allergenonline.org/databasebrowse.shtml","12958583","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=12958583"
"1663256040-2402","http://www.allergenonline.org/databasebrowse.shtml","47117012","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=47117012"
"1663256040-2403","http://www.allergenonline.org/databasebrowse.shtml","126955","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=126955"
"1663256040-2404","http://www.allergenonline.org/databasebrowse.shtml","24418862","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=24418862"
"1663256040-2405","http://www.allergenonline.org/databasebrowse.shtml","94471622","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=94471622"
"1663256040-2406","http://www.allergenonline.org/databasebrowse.shtml","94471624","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=94471624"
"1663256040-2407","http://www.allergenonline.org/databasebrowse.shtml","585279","http://www.ncbi.nlm.nih.gov/entrez/viewer.fcgi?db=protein&val=585279"
